Rok,Značka,Model,Motorizácia,Spotreba
2025,ALFA ROMEO,Giulia,2.0,8.7
2025,ALFA ROMEO,Stelvio AWD,2.0,9.8
2025,ALFA ROMEO,Giulia AWD,2.0,9.0
2025,Acura,TLX Type-S,3.0,11.2
2025,Acura,INTEGRA A-SPEC,1.5,7.8
2025,Acura,MDX AWD Type-S,3.0,12.4
2025,Acura,RDX AWD A-SPEC,2.0,10.2
2025,Acura,RDX AWD,2.0,10.2
2025,Acura,MDX AWD,3.5,11.2
2025,Acura,TLX FWD,2.0,9.4
2025,Acura,TLX AWD A-SPEC,2.0,9.8
2025,Acura,INTEGRA A-SPEC,1.5,7.4
2025,Acura,INTEGRA,2.0,9.8
2025,Acura,INTEGRA,1.5,7.1
2025,Acura,MDX FWD,3.5,10.7
2025,Aston Martin Lagonda Ltd,Vantage,4.0,13.1
2025,Aston Martin Lagonda Ltd,DBX 707,4.0,13.8
2025,Aston Martin Lagonda Ltd,DB12 V8,4.0,13.8
2025,Audi,A4 quattro,2.0,8.1
2025,Audi,A4 S line quattro,2.0,9.0
2025,Audi,S4,3.0,9.8
2025,Audi,SQ5 Sportback,3.0,11.2
2025,Audi,SQ5,3.0,11.2
2025,Audi,Q5 Sportback S line quattro,2.0,9.4
2025,Audi,Q5 S line quattro,2.0,9.4
2025,Audi,Q5 quattro,2.0,9.0
2025,Audi,Q3 S line,2.0,10.2
2025,Audi,S5 Sportback,3.0,10.2
2025,Audi,S8,4.0,13.1
2025,Audi,A4 allroad quattro,2.0,9.0
2025,Audi,A6 allroad quattro,3.0,9.4
2025,Audi,RS 6 Avant,4.0,13.8
2025,Audi,S7,2.9,10.7
2025,Audi,A5 Sportback quattro,2.0,8.1
2025,Audi,A5 Sportback S line quattro,2.0,9.0
2025,Audi,A6 quattro,2.0,9.0
2025,Audi,A6 quattro,3.0,9.4
2025,Audi,A7 quattro,3.0,9.4
2025,Audi,RS 5 Sportback,2.9,11.8
2025,Audi,RS 7,4.0,13.8
2025,Audi,S6,2.9,10.7
2025,Audi,Q3,2.0,9.4
2025,Audi,A8 quattro,3.0,10.7
2025,Audi,SQ7,4.0,13.8
2025,Audi,RS Q8 Performance,4.0,14.7
2025,Audi,Q8 quattro,3.0,12.4
2025,Audi,Q7,3.0,11.8
2025,Audi,Q7,2.0,10.7
2025,Audi,A3 quattro,2.0,8.4
